# refseq	assembly	ensembl	genbank	ncbi	ucsc
NC_039506.1	Chr1	CM010856.1	CM010856.1	1	chr1
NC_039507.1	Chr2	CM010857.1	CM010857.1	2	chr2
NC_039508.1	Chr3	CM010858.1	CM010858.1	3	chr3
NC_039509.1	Chr4	CM010859.1	CM010859.1	4	chr4
NC_039510.1	Chr5	CM010860.1	CM010860.1	5	chr5
NC_039511.1	Chr6	CM010861.1	CM010861.1	6	chr6
NC_039512.1	Chr7	CM010862.1	CM010862.1	7	chr7
NC_039513.1	Chr8	CM010863.1	CM010863.1	8	chr8
NC_039514.1	Chr9	CM010864.1	CM010864.1	9	chr9
NC_039515.1	Chr10	CM010865.1	CM010865.1	10	chr10
NC_039516.1	Chr11	CM010866.1	CM010866.1	11	chr11
NC_039517.1	Chr12	CM010867.1	CM010867.1	12	chr12
NC_039518.1	Chr13	CM010868.1	CM010868.1	13	chr13
NC_039519.1	Chr14	CM010869.1	CM010869.1	14	chr14
NW_020825069.1	UnassembledTig1	QOIP01000015.1	QOIP01000015.1		chrUn_NW_020825069v1
NW_020825070.1	UnassembledTig10	QOIP01000023.1	QOIP01000023.1		chrUn_NW_020825070v1
NW_020825071.1	UnassembledTig100	QOIP01000106.1	QOIP01000106.1		chrUn_NW_020825071v1
NW_020825072.1	UnassembledTig101	QOIP01000107.1	QOIP01000107.1		chrUn_NW_020825072v1
NW_020825073.1	UnassembledTig102	QOIP01000108.1	QOIP01000108.1		chrUn_NW_020825073v1
NW_020825074.1	UnassembledTig103	QOIP01000109.1	QOIP01000109.1		chrUn_NW_020825074v1
NW_020825075.1	UnassembledTig104	QOIP01000110.1	QOIP01000110.1		chrUn_NW_020825075v1
NW_020825076.1	UnassembledTig105	QOIP01000111.1	QOIP01000111.1		chrUn_NW_020825076v1
NW_020825077.1	UnassembledTig106	QOIP01000112.1	QOIP01000112.1		chrUn_NW_020825077v1
NW_020825078.1	UnassembledTig107	QOIP01000113.1	QOIP01000113.1		chrUn_NW_020825078v1
NW_020825079.1	UnassembledTig108	QOIP01000114.1	QOIP01000114.1		chrUn_NW_020825079v1
NW_020825080.1	UnassembledTig109	QOIP01000115.1	QOIP01000115.1		chrUn_NW_020825080v1
NW_020825081.1	UnassembledTig11	QOIP01000024.1	QOIP01000024.1		chrUn_NW_020825081v1
NW_020825082.1	UnassembledTig110	QOIP01000116.1	QOIP01000116.1		chrUn_NW_020825082v1
NW_020825083.1	UnassembledTig111	QOIP01000117.1	QOIP01000117.1		chrUn_NW_020825083v1
NW_020825084.1	UnassembledTig112	QOIP01000118.1	QOIP01000118.1		chrUn_NW_020825084v1
NW_020825085.1	UnassembledTig113	QOIP01000119.1	QOIP01000119.1		chrUn_NW_020825085v1
NW_020825086.1	UnassembledTig114	QOIP01000120.1	QOIP01000120.1		chrUn_NW_020825086v1
NW_020825087.1	UnassembledTig115	QOIP01000121.1	QOIP01000121.1		chrUn_NW_020825087v1
NW_020825088.1	UnassembledTig116	QOIP01000122.1	QOIP01000122.1		chrUn_NW_020825088v1
NW_020825089.1	UnassembledTig117	QOIP01000123.1	QOIP01000123.1		chrUn_NW_020825089v1
NW_020825090.1	UnassembledTig118	QOIP01000124.1	QOIP01000124.1		chrUn_NW_020825090v1
NW_020825091.1	UnassembledTig119	QOIP01000125.1	QOIP01000125.1		chrUn_NW_020825091v1
NW_020825092.1	UnassembledTig12	QOIP01000025.1	QOIP01000025.1		chrUn_NW_020825092v1
NW_020825093.1	UnassembledTig120	QOIP01000126.1	QOIP01000126.1		chrUn_NW_020825093v1
NW_020825094.1	UnassembledTig121	QOIP01000127.1	QOIP01000127.1		chrUn_NW_020825094v1
NW_020825095.1	UnassembledTig122	QOIP01000128.1	QOIP01000128.1		chrUn_NW_020825095v1
NW_020825096.1	UnassembledTig123	QOIP01000129.1	QOIP01000129.1		chrUn_NW_020825096v1
NW_020825097.1	UnassembledTig124	QOIP01000130.1	QOIP01000130.1		chrUn_NW_020825097v1
NW_020825098.1	UnassembledTig125	QOIP01000131.1	QOIP01000131.1		chrUn_NW_020825098v1
NW_020825099.1	UnassembledTig126	QOIP01000132.1	QOIP01000132.1		chrUn_NW_020825099v1
